filename,document_type,source_type,chunk_count,mean_net_sentiment,std_net_sentiment,pct_positive,pct_negative,pct_neutral
yf_SKE_02_article_2.txt,news,Live,2,0.726,0.276,100,0,0
yf_SKE_05_article_5.txt,news,Live,2,0.726,0.276,100,0,0
yf_SKE_08_article_8.txt,news,Live,2,0.726,0.276,100,0,0
yf_SKE_09_article_9.txt,news,Live,2,0.726,0.276,100,0,0
newsapi_04_Skeena Reports Fourth Quarter and Annual 2025 Financial Resu.txt,news,Live,2,0.726,0.276,100,0,0
newsapi_05_Skeena Reports Fourth Quarter and Annual 2025 Financial Resu.txt,press_release,Live,2,0.726,0.276,100,0,0
newsapi_09_Mining Investment Surges as Global Conflicts Induce Further .txt,news,Live,2,0.726,0.276,100,0,0
newsapi_10_Mining Investment Surges as Global Conflicts Induce Further .txt,news,Live,2,0.726,0.276,100,0,0
yf_SKE_03_article_3.txt,news,Live,2,0.726,0.276,100,0,0
20260217_Skeena_Resources_Ltd-_Press_Release_2026-2-17_SE000000003095955674.pdf,press_release,Uploaded,14,0.622,0.257,64.286,0,35.714
20250814_Skeena_Resources_Ltd-_Press_Release_2025-8-14_SE000000003072526126.pdf,press_release,Uploaded,14,0.622,0.257,64.286,0,35.714
20250515_Skeena_Resources_Ltd-_Press_Release_2025-5-15_SE000000003064519643.pdf,press_release,Uploaded,15,0.607,0.254,60,0,40
20260128_Skeena_Resources_Ltd-_Press_Release_2026-1-28_SE000000003094224101.pdf,press_release,Uploaded,15,0.607,0.254,60,0,40
20251008_Skeena_Resources_Ltd-_Press_Release_2025-10-08_SE000000003079543575.pdf,press_release,Uploaded,13,0.598,0.25,61.538,0,38.462
20250916_Skeena_Resources_Ltd-_Company_Presentation_2025-9-16_WC000000003076470969.pdf,other,Uploaded,13,0.598,0.25,61.538,0,38.462
20250630_Skeena_Resources_Ltd-_Company_Presentation_2025-6-30_WC000000003068282897.pdf,other,Uploaded,13,0.598,0.25,61.538,0,38.462
20250716_Skeena_Resources_Ltd-_Company_Presentation_2025-7-16_WC000000003069667594.pdf,other,Uploaded,13,0.598,0.25,61.538,0,38.462
20250806_Skeena_Resources_Ltd-_Company_Presentation_2025-8-06_WC000000003071517216.pdf,other,Uploaded,13,0.598,0.25,61.538,0,38.462
20250624_Skeena_Resources_Ltd-_Press_Release_2025-6-24_SE000000003067698201.pdf,press_release,Uploaded,16,0.569,0.288,56.25,0,43.75
yf_SKE_04_article_4.txt,news,Live,1,0.531,,100,0,0
yf_SKE_06_article_6.txt,news,Live,1,0.531,,100,0,0
20251114_Skeena_Resources_Ltd-_Press_Release_2025-11-14_SE000000003085296802.pdf,press_release,Uploaded,17,0.529,0.325,52.941,0,47.059
20260203_Skeena_Resources_Ltd-_Press_Release_2026-2-03_SE000000003094852612.pdf,press_release,Uploaded,17,0.529,0.325,52.941,0,47.059
20251215_Skeena_Resources_Ltd-_Press_Release_2025-12-15_SE000000003089151890.pdf,press_release,Uploaded,17,0.529,0.325,52.941,0,47.059
20260324_Skeena_Resources_Ltd-_Press_Release_2026-3-24_SE000000003100076360.pdf,press_release,Uploaded,17,0.529,0.325,52.941,0,47.059
20250721_Skeena_Resources_Ltd-_Press_Release_2025-7-21_SE000000003069987369.pdf,press_release,Uploaded,18,0.509,0.326,50,0,50
20260217_Skeena_Resources_Ltd-_6_K_2026-02-17.pdf,filing,Uploaded,18,0.509,0.326,50,0,50
20260128_Skeena_Resources_Ltd-_6_K_2026-01-28.pdf,filing,Uploaded,18,0.509,0.326,50,0,50
20260203_Skeena_Resources_Ltd-_6_K_2026-02-03.pdf,filing,Uploaded,19,0.484,0.335,47.368,0,52.632
20251215_Skeena_Resources_Ltd-_6_K_2025-12-15.pdf,filing,Uploaded,19,0.484,0.335,47.368,0,52.632
20251008_Skeena_Resources_Ltd-_6_K_2025-10-08.pdf,press_release,Uploaded,20,0.46,0.344,45,0,55
20250721_Skeena_Resources_Ltd-_6_K_2025-07-21.pdf,filing,Uploaded,21,0.438,0.349,42.857,0,57.143
20250624_Skeena_Resources_Ltd-_6_K_2025-06-24.pdf,filing,Uploaded,21,0.438,0.349,42.857,0,57.143
20250522_Skeena_Resources_Ltd-_Press_Release_2025-5-22_SE000000003065073543.pdf,press_release,Uploaded,22,0.42,0.352,40.909,0,59.091
20251004_Skeena_Resources_Ltd-_Press_Release_2025-10-04_SE000000003079038222.pdf,press_release,Uploaded,22,0.42,0.352,40.909,0,59.091
20260127_Skeena_Resources_Ltd-_Press_Release_2026-1-27_SE000000003094064206.pdf,press_release,Uploaded,23,0.401,0.355,39.13,0,60.87
20260127_Skeena_Resources_Ltd-_6_K_2026-01-27.pdf,filing,Uploaded,24,0.384,0.358,37.5,0,62.5
20251001_Skeena_Resources_Ltd-_Press_Release_2025-10-01_SE000000003078778552.pdf,press_release,Uploaded,24,0.384,0.358,37.5,0,62.5
20250522_Skeena_Resources_Ltd-_6_K_2025-05-22.pdf,press_release,Uploaded,25,0.369,0.357,36,0,64
20240403_Hannam_-_Partners_SKE-CN_Skeena_Resources-_FY_23_Advancing_Eskay_Creek_and.pdf,equity_research,Uploaded,31,0.291,0.372,29.032,3.226,67.742
20210408_Hannam_-_Partners_SKE-CN_Skeena_Resources-_Updated_Resource_provides_pathway_to_p.pdf,equity_research,Uploaded,32,0.281,0.37,28.125,3.125,68.75
20201118_Hannam_-_Partners_SKE-CN_Skeena_Resources-_Adjusting_valuation_as_C-46m_share_off.pdf,equity_research,Uploaded,35,0.258,0.362,25.714,2.857,71.429
20210331_SCP_Resource_Finance_LP_SKE-CN_210331_scp_ske_tahltan.pdf,equity_research,Uploaded,34,0.257,0.366,26.471,2.941,70.588
20240626_Hannam_-_Partners_SKE-CN_Skeena_Resources-_Comprehensive_US-750m_funding_package.pdf,equity_research,Uploaded,34,0.256,0.37,26.471,2.941,70.588
20220607_SCP_Resource_Finance_LP_SKE-CN_220607_scp_ske_Tahltan.pdf,equity_research,Uploaded,35,0.245,0.361,22.857,2.857,74.286
20220216_SCP_Resource_Finance_LP_SKE-CN_220216_scp_ske_president.pdf,equity_research,Uploaded,35,0.245,0.361,22.857,2.857,74.286
20240209_Hannam_-_Partners_SKE-CN_Skeena_Resources-_High_grade_results_from_2023_drill_pro.pdf,equity_research,Uploaded,37,0.243,0.357,24.324,2.703,72.973
20220126_SCP_Resource_Finance_LP_SKE-CN_220126_scp_ske_drilling.pdf,equity_research,Uploaded,36,0.243,0.361,25,2.778,72.222
20210210_SCP_Resource_Finance_LP_SKE-CN_210210scp_ske_drilling.pdf,equity_research,Uploaded,36,0.239,0.359,25,2.778,72.222
20210128_SCP_Resource_Finance_LP_SKE-CN_210128_scp_ske_drilling.pdf,equity_research,Uploaded,36,0.239,0.359,25,2.778,72.222
20201125_Hannam_-_Partners_SKE-CN_Skeena_Resources-_2020_drilling_programme_delivers_furth.pdf,equity_research,Uploaded,38,0.237,0.354,23.684,2.632,73.684
20210202_Hannam_-_Partners_SKE-CN_Skeena_Resources-_Additional_positive_diamond_drill_core.pdf,equity_research,Uploaded,38,0.237,0.354,23.684,2.632,73.684
20210524_Hannam_-_Partners_SKE-CN_Skeena_Resources-_Blockbuster_grades_at_Snip_after_C-57..pdf,equity_research,Uploaded,38,0.237,0.354,23.684,2.632,73.684
20211015_SCP_Resource_Finance_LP_SKE-CN_211015_scp_ske_hochschild.pdf,equity_research,Uploaded,37,0.236,0.359,24.324,2.703,72.973
20221117_SCP_Resource_Finance_LP_SKE-CN_221117_scp_ske_drilling.pdf,equity_research,Uploaded,38,0.229,0.356,23.684,2.632,73.684
